texto_integro,fecha,diario,secc,orga,encabezado,fecha_mensaje,numdoc,mensaje,seri,ndia,subi,url,term,cve
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-85.CODI.#1,20130122,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-85.PDF,CONGRESO,Diputación Permanente,DS,de 22/01/2013,85,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 85,",Pleno y Diputación Permanente ,85,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-85,X,DSCD-10-PL-85
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-96.CODI.#1,20130313,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-96.PDF,CONGRESO,Pleno,DS,de 13/03/2013,96,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 96,",Pleno y Diputación Permanente ,96,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-96,X,DSCD-10-PL-96
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-84.CODI.#1,20121220,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-84.PDF,CONGRESO,Pleno,DS,de 20/12/2012,84,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 84,",Pleno y Diputación Permanente ,84,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-84,X,DSCD-10-PL-84
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-95.CODI.#1,20130312,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-95.PDF,CONGRESO,Pleno,DS,de 12/03/2013,95,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 95,",Pleno y Diputación Permanente ,95,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-95,X,DSCD-10-PL-95
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-89.CODI.#1,20130213,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-89.PDF,CONGRESO,Pleno,DS,de 13/02/2013,89,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 89,",Pleno y Diputación Permanente ,89,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-89,X,DSCD-10-PL-89
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-100.CODI.#1,20130321,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-100.PDF,CONGRESO,Pleno,DS,de 21/03/2013,100,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 100,",Pleno y Diputación Permanente ,100,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-100,X,DSCD-10-PL-100
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-88.CODI.#1,20130212,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-88.PDF,CONGRESO,Pleno,DS,de 12/02/2013,88,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 88,",Pleno y Diputación Permanente ,88,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-88,X,DSCD-10-PL-88
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-99.CODI.#1,20130320,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-99.PDF,CONGRESO,Pleno,DS,de 20/03/2013,99,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 99,",Pleno y Diputación Permanente ,99,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-99,X,DSCD-10-PL-99
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-90.CODI.#1,20130214,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-90.PDF,CONGRESO,Pleno,DS,de 14/02/2013,90,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 90,",Pleno y Diputación Permanente ,90,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-90,X,DSCD-10-PL-90
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-83.CODI.#1,20121219,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-83.PDF,CONGRESO,Pleno,DS,de 19/12/2012,83,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 83,",Pleno y Diputación Permanente ,83,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-83,X,DSCD-10-PL-83
